Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1872.6219922974815
FDW14,OUT017,1373.908379561086
NCN55,OUT010,3596.000380225829
FDQ58,OUT017,2541.720040210439
FDY38,OUT027,3581.5504705957173
FDH56,OUT046,1853.2494058297525
FDL48,OUT018,501.1387602461946
FDC48,OUT027,1655.2317651219564
FDN33,OUT045,1200.4902197132396
FDA36,OUT017,3090.942937804557
FDT44,OUT017,1515.3115836541
FDQ56,OUT045,1116.7260150557559
NCC54,OUT019,3440.2937532571814
FDU11,OUT049,1804.2307703570514
DRL59,OUT013,1126.3847844669472
FDM24,OUT049,2314.7579215557926
FDI57,OUT045,3045.570973556718
DRC12,OUT018,2931.8889238795164
NCM42,OUT027,2046.225562949865
FDA46,OUT010,2410.1512062763977
FDA31,OUT013,2700.718521526109
NCJ31,OUT035,3081.993155131422
FDG52,OUT046,738.6711438747479
NCL19,OUT019,2559.6406321781105
FDS10,OUT035,2825.9727358735763
FDX22,OUT010,3414.287994496437
NCF19,OUT035,782.6696653177933
NCE06,OUT046,2441.7553192807754
DRC27,OUT046,3848.073115834395
FDE21,OUT035,1915.872622176139
NCR42,OUT019,656.4287565586419
FDX51,OUT018,3094.4276891625377
NCR06,OUT018,764.213375115527
FDU31,OUT027,3749.105786062777
FDU59,OUT017,2324.9034218679044
FDR03,OUT027,3624.8148451999587
FDS49,OUT027,1357.9359168224328
FDD48,OUT010,1847.6554567966814
NCF18,OUT017,2721.8565528340077
NCD43,OUT027,2003.4062202182176
NCD54,OUT018,2190.414459616517
FDY19,OUT010,1749.7086830978114
NCY54,OUT017,2090.196526151223
NCL19,OUT018,2307.2172621477075
FDP23,OUT010,3439.6542174740825
FDC26,OUT013,1627.4821682995607
FDR14,OUT010,-160.4044013352759
NCS41,OUT035,2819.3430234897714
FDF41,OUT035,3484.489781542128
FDU34,OUT046,1874.0525931287848
DRH11,OUT046,883.5056630652507
FDM03,OUT013,1542.6784116979798
FDS31,OUT017,2782.6963609626146
FDJ20,OUT017,1566.834714691522
FDV44,OUT027,3228.6190756077813
FDG02,OUT049,3194.690177405915
FDA09,OUT013,3235.7799381385703
FDT04,OUT013,521.5688430185655
FDL58,OUT019,3984.041385704637
FDE52,OUT045,1513.090131231933
FDW12,OUT035,2326.467734893369
FDL51,OUT017,3254.187587000484
NCY42,OUT027,2600.0499190141018
FDR07,OUT017,1266.5986461654757
FDN40,OUT045,2259.1217057053655
FDB35,OUT027,1580.8270204334694
FDA22,OUT017,2394.1440827899023
NCL06,OUT046,4059.1248789384517
FDI35,OUT013,3069.92860621024
NCW42,OUT045,3392.106393266473
NCX06,OUT049,2982.1510624147595
FDC37,OUT027,2002.29916073379
FDZ14,OUT018,1855.0215774768367
DRG49,OUT049,3821.191761767397
NCG06,OUT045,4075.3716606001944
DRC36,OUT045,2734.5550812120055
FDV21,OUT019,1053.0140688844258
FDB53,OUT046,1981.7132905853032
DRP47,OUT019,3287.532153331158
FDA14,OUT013,2385.907922719616
DRC24,OUT035,2442.8921753072573
FDW21,OUT018,1718.6156251330685
NCH29,OUT046,1702.1336718873863
FDU58,OUT013,3284.1866261372816
